currency,conversion
AFN,0.01295346
DZD,0.0078145085
AMD,0.0020523766
AZN,0.58823529
BDT,0.01179109
XOF,0.001814745
BTN,0.013641239
BOB,0.1450021
BIF,0.000518221
KHR,0.00024225
XAF,0.00181473
CVE,0.01079576
COP,0.0002623125
USD,1
CDF,0.00051282051
DJF,0.00562
ETB,0.027663404
GMD,0.019305019
GEL,0.32362459
GHS,0.1728515
GTQ,0.12969134
GNF,0.0001035295
HTG,0.008927542
INR,0.01367456
IDR,0.00006839777
IRR,0.000023750148
IQD,0.00083758547
JOD,1.410455
KES,0.009249999
KGS,0.012743999
LAK,0.000109442
LBP,0.000661578
LSL,0.05980289
LRD,0.0050175614
MGA,0.0002597525
MWK,0.0013345459
MRO,0.026
MZN,0.01403355
MMK,0.000745516
NPR,0.008527034
NGN,0.002581023
PKR,0.00597416
PEN,0.2806591
PHP,0.02067675
RWF,0.00103433
SOS,0.001734317
Somaliland Shilling,0.00173441
LKR,0.005368596
SZL,0.05980455
SYP,0.00195452
TJS,0.09692564
TRY,0.1363345
UGX,0.000272038
UAH,0.03638399
TZS,0.00043100067
YER,0.003994424
ZMW,0.05506565
NIS,0.3
SDG,0.018083182
EGP,0.063020708
SSP,0.0076769538
